*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79720,217.55,217.55,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79721,530.22,530.22,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79722,1137.52,1137.52,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79723,526.81,526.81,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79724,857.7,857.7,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79725,1260.49,1260.49,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79726,162.1,162.1,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79727,294.66,294.66,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79728,251.64,251.64,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79729,169.94,169.94,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79730,949.7,949.7,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79731,210.9,210.9,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79732,669.04,669.04,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79733,507.56,507.56,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79734,236.8,236.8,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79735,365.44,365.44,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79738,388.59,388.59,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79739,9059.4,9059.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79740,365.44,365.44,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79741,365.44,365.44,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79742,9059.4,9059.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79743,1206.7,1206.7,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79744,459.33,459.33,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79745,9059.4,9059.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79746,692.92,692.92,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79747,366.88,366.88,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79748,9059.4,9059.4,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79749,175.1,175.1,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79750,1500.14,1500.14,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79751,669.1,669.1,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79763,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79764,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79765,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79766,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79777,41.83,41.83,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79781,51.45,51.45,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79782,115.85,115.85,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79784,315,315,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79785,1795.96,1795.96,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79786,1148.92,1148.92,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79787,966.31,966.31,0
23/11/2020,17,1201286.89,USD,20.1172,20.921815,,,,1,FAC,79790,721.94,721.94,0
23/11/2020,17,1201286.89,USD,20.1172,21.964988,,,,1,FAC,79791,827.66,827.66,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79801,50,50,0
23/11/2020,17,1201286.89,USD,20.1172,21.921652,,,,1,FAC,79804,51.9,51.9,0
23/11/2020,17,1201286.89,USD,20.1172,21.063718,,,,1,FAC,79814,322.14,322.14,0
23/11/2020,17,1201286.89,USD,20.1172,21.788866,,,,1,FAC,79817,65,65,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79821,595.04,595.04,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79833,400,400,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79836,243.6,243.6,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,79839,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,21.544295,,,,1,FAC,79840,710,710,0
23/11/2020,17,1201286.89,USD,20.1172,21.063718,,,,1,FAC,79846,403.99,403.99,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79847,524.99,524.99,0
